# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"15 Klitenic, Clark",0,0-0,1,1,0,0-1,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"12 Gehri, Jake",0,0-0,1,0,0,0-0,0,0.2,1,0,0,0,0,0,0,0,0.333,0,0,0,0,0
"13 Kessinger, Carter",2.35,0-0,7,0,0,0-0,0,7.2,5,3,2,6,11,1,1,0,0.179,0,1,0,1,0
"4 Chatfield, Jimmy",3,Jan-00,1,1,0,0-0,0,3,1,1,1,1,3,1,0,0,0.1,0,0,0,0,0
"21 Easterly, Reid",3.12,2-Jan,9,0,0,0-1,2,17.1,16,7,6,3,17,2,1,1,0.246,1,2,0,1,0
"40 Gibbs, Ben",3.37,0-0,2,0,0,0-0,0,2.2,4,2,1,0,4,1,0,1,0.333,0,1,0,0,0
"22 Kelley, Mick",3.92,Jan-00,8,0,0,0-1,2,20.2,22,14,9,3,17,7,1,4,0.259,0,3,0,1,1
"34 Walsh, Mike",4.45,Mar-00,5,5,0,0-0,0,28.1,22,16,14,15,33,4,0,6,0.21,1,10,0,0,0
"20 Capell, Mark",4.7,Feb-00,3,0,0,0-1,1,7.2,3,4,4,8,10,0,0,2,0.13,0,0,0,0,2
"9 Shaw, Colton",5.74,2-Jan,5,5,0,0-0,0,26.2,23,18,17,13,21,4,0,1,0.23,3,3,0,1,0
"18 Kipp, Grant",8.1,2-Feb,5,5,0,0-0,0,26.2,41,28,24,10,26,6,1,4,0.357,0,7,0,1,3
"31 DeKay, Jamis",13.5,0-0,1,0,0,0-0,0,0.2,1,1,1,0,0,0,0,1,0.333,0,0,0,0,0
"23 Cleary, Quinn",22.5,0-0,2,0,0,0-0,0,4,10,10,10,3,5,3,0,1,0.455,4,1,2,0,0
"28 Saladin, Chris",81,0-0,2,0,0,0-0,0,0.2,3,6,6,3,0,0,0,3,0.6,1,2,0,0,0
Totals,5.71,6-Nov,52,17,0,1,5,149.2,152,110,95,67,150,29,4,24,0.26,10,30,2,5,6
Opponents,5.39,11-Jun,75,17,0,3,0,152,149,110,91,73,147,27,3,14,0.252,26,17,2,8,5